Title,Description,Preconditions,Folder,State,Tags,Priority,Type of Test Case,Test Scenario Type,Test Execution Type,Layer,Operating System,Subscription,Template,Steps,Results,Feature,Scenario,Background,Automation Status,Automated Status,Owner
"GET CrossConsents returns shouldDisplayConsent and customerAgreementLastState with current data","Validates that GET v1/consents/lending/cross returns the minimum required fields with correct values by querying Master Repository","Valid JWT token. Customer with active consent in Master Repository. Endpoint available.","Technical Tests > Backend > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,BFF,Critical,Functional,Happy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Authenticate with valid JWT token\n2. Send GET v1/consents/lending/cross\n3. Validate HTTP response status\n4. Validate response body structure","HTTP 200 returned\nshouldDisplayConsent present as boolean\ncustomerAgreementLastState present as string",,,, Automated,N/A,Joel Narro
"GET CrossConsents returns shouldDisplayConsent=true when consent has never been managed","Validates that the endpoint returns shouldDisplayConsent=true for a customer with no consent history in Master Repository","Valid JWT token. Customer with no consent records in Master Repository.","Technical Tests > Backend > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,BFF,Critical,Functional,Happy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Authenticate with valid JWT token\n2. Send GET v1/consents/lending/cross\n3. Validate HTTP response status\n4. Validate shouldDisplayConsent field in response","HTTP 200 returned\nshouldDisplayConsent equals true",,,,Automated,N/A,Joel Narro
"GET CrossConsents returns shouldDisplayConsent=false when consent was previously approved","Validates that the endpoint returns shouldDisplayConsent=false and customerAgreementLastState=APPROVED for a customer with approved consent","Valid JWT token. Customer with APPROVED consent in Master Repository.","Technical Tests > Backend > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,BFF,Critical,Functional,Happy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Authenticate with valid JWT token\n2. Send GET v1/consents/lending/cross\n3. Validate HTTP response status\n4. Validate shouldDisplayConsent and customerAgreementLastState fields","HTTP 200 returned\nshouldDisplayConsent equals false\ncustomerAgreementLastState equals APPROVED",,,,Automated,N/A,Joel Narro
"GET CrossConsents returns shouldDisplayConsent=false when consent was rejected within the remaining period","Validates that the endpoint returns shouldDisplayConsent=false for a customer with a valid rejection within documentAcceptanceRemainingDays","Valid JWT token. Customer with NOT_APPROVED consent within documentAcceptanceRemainingDays period.","Technical Tests > Backend > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,BFF,Critical,Functional,Happy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Authenticate with valid JWT token\n2. Send GET v1/consents/lending/cross\n3. Validate HTTP response status\n4. Validate shouldDisplayConsent field","HTTP 200 returned\nshouldDisplayConsent equals false\ncustomerAgreementLastState equals NOT_APPROVED",,,,Automated,N/A,Joel Narro
"POST /consents registers APPROVED in Master Repository without recalculating the value","Validates that Backend registers exactly customerAgreementStatus=APPROVED as received without modification","Valid JWT token. BFF sends payload with customerAgreementStatus=APPROVED. Master Repository available.","Technical Tests > Backend > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,BS,Critical,Functional,Happy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Authenticate with valid JWT token\n2. Send POST ms-lending-bs/v1/consents with customerAgreementStatus=APPROVED\n3. Validate HTTP response status\n4. Validate that Master Repository received APPROVED without transformation","HTTP 200 or 201 returned\nMaster Repository registers APPROVED\nValue was not modified by Backend",,,,Automated,N/A,Joel Narro
"POST /consents registers NOT_APPROVED in Master Repository without recalculating the value","Validates that Backend registers exactly customerAgreementStatus=NOT_APPROVED as received without modification","Valid JWT token. BFF sends payload with customerAgreementStatus=NOT_APPROVED. Master Repository available.","Technical Tests > Backend > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,BS,Critical,Functional,Happy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Authenticate with valid JWT token\n2. Send POST ms-lending-bs/v1/consents with customerAgreementStatus=NOT_APPROVED\n3. Validate HTTP response status\n4. Validate that Master Repository received NOT_APPROVED","HTTP 200 or 201 returned\nMaster Repository registers NOT_APPROVED\nValue was not modified",,,,Automated,N/A,Joel Narro
"/Quote propagates commercialApproval=true to topic without modifying the value","Validates that Backend receives commercialApproval=true in /Quote and sends it to the topic without transformation","Valid JWT token. Quote with commercialApproval=true. Topic available.","Technical Tests > Backend > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,BS,Critical,Functional,Happy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Authenticate with valid JWT token\n2. Send POST /Quote with commercialApproval=true\n3. Validate HTTP response status\n4. Validate that topic receives commercialApproval=true","HTTP 200 returned\nTopic receives commercialApproval=true\nValue was not modified",,,,Automated,N/A,Joel Narro
"/Quote propagates commercialApproval=false to topic without modifying the value","Validates that Backend receives commercialApproval=false in /Quote and sends it to the topic without transformation","Valid JWT token. Quote with commercialApproval=false. Topic available.","Technical Tests > Backend > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,BS,Critical,Functional,Happy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Authenticate with valid JWT token\n2. Send POST /Quote with commercialApproval=false\n3. Validate HTTP response status\n4. Validate that topic receives commercialApproval=false","HTTP 200 returned\nTopic receives commercialApproval=false\nValue was not modified",,,,Automated,N/A,Joel Narro
"POST /consents with Master Repository error does not interrupt the credit flow (RN08)","Validates that when Master Repository returns an error during registration, Backend handles it gracefully without blocking the credit flow","Valid JWT token. Master Repository mock configured to return error or timeout on registration.","Technical Tests > Backend > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,BS,Critical,Functional,UnHappy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Authenticate with valid JWT token\n2. Configure mock: Master Repository returns error or timeout\n3. Send POST ms-lending-bs/v1/consents\n4. Validate HTTP response status\n5. Validate that credit flow was not interrupted","Backend does not return blocking error to BFF\nCredit flow continues\nNo error exposed to client\n[RISK R-05: HTTP response code in this scenario not documented]",,,,Manual,N/A,Joel Narro
"GET CrossConsents without Authorization header returns 401","Validates that the endpoint rejects requests without the authentication header","No token configured. Endpoint available.","Technical Tests > Backend > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,BFF,Critical,Functional,UnHappy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Send GET v1/consents/lending/cross without Authorization header\n2. Validate HTTP response status\n3. Validate error response body","HTTP 401 returned\nError body present and indicates missing authentication",,,,Automated,N/A,Joel Narro
