Title,Description,Preconditions,Folder,State,Tags,Priority,Type of Test Case,Test Scenario Type,Test Execution Type,Layer,Operating System,Subscription,Template,Steps,Results,Feature,Scenario,Background,Automation Status,Automated Status,Owner
"[Visualización de botón de prepago cuando la cuota del mes está pendiente]","Validar que cuando la cuota del mes en curso está pendiente no se habilite el flujo de prepago y solo se muestren las acciones permitidas por la lógica vigente.","Usuario con crédito activo y cuota del mes pendiente; sesión iniciada; app en ambiente QA; respuesta backend con estado de cuota pendiente.","Pruebas Funcionales > Mobile > Flujo de Prepago",Active,"UI,BFF",Critical,Functional,Unhappy Path,Smoke,Mobile,"Android, iOS",N/A,"Test Case BDD",,,"Flujo de Prepago","Given que el usuario tiene la cuota del mes pendiente\nWhen ingresa a la pantalla de deuda\nThen no se muestra la opción de prepago\nAnd solo se visualizan las acciones habilitadas por la lógica actual",,"Automated",N/A,joelwnarro@yape.com.pe
"[Habilitación de prepago con cuota actual pagada y condiciones válidas]","Validar que el botón de cancelación de deuda vía prepago se habilite solo cuando se cumple cuota pagada, no última cuota, fecha válida, horario permitido, sin prepago en el día y fuera de periodo de adelanto en progreso.","Usuario con cuota del mes pagada; no está en última cuota; fecha distinta a cobro automático; horario entre 5:00 y 20:30; sin transacción 8089 en el día; sin adelanto en progreso.","Pruebas Funcionales > Mobile > Flujo de Prepago",Active,BFF,Critical,Acceptance,Happy Path,Smoke,Mobile,"Android, iOS",N/A,"Test Case BDD",,,"Flujo de Prepago","Given que el usuario cumple todas las reglas de habilitación de prepago\nWhen consulta su pantalla de deuda\nThen el botón de prepago está habilitado\nAnd puede continuar al flujo de ingreso de monto",,"Automated",N/A,joelwnarro@yape.com.pe
"[Botón de prepago oculto en última cuota del crédito]","Validar que si el crédito está en su última cuota el botón de prepago no se muestre.","Usuario con cuota actual pagada y crédito en última cuota; sesión iniciada; app en ambiente QA.","Pruebas Funcionales > Mobile > Flujo de Prepago",Active,BFF,High,Functional,Unhappy Path,Regression,Mobile,"Android, iOS",N/A,"Test Case BDD",,,"Flujo de Prepago","Given que el crédito del usuario está en su última cuota\nWhen abre la pantalla de deuda\nThen la opción de prepago se oculta",,"Automated",N/A,joelwnarro@yape.com.pe
"[Botón de prepago deshabilitado en fecha de cobro automático]","Validar que en la fecha de cobro automático el botón de prepago permanezca deshabilitado aun cuando la cuota actual esté pagada.","Usuario con cuota actual pagada; fecha de consulta igual a fecha de cobro automático; demás reglas cumplidas.","Pruebas Funcionales > Mobile > Flujo de Prepago",Active,BFF,High,Functional,Unhappy Path,Regression,Mobile,"Android, iOS",N/A,"Test Case BDD",,,"Flujo de Prepago","Given que hoy es la fecha de cobro automático del usuario\nWhen visualiza la opción de prepago\nThen el botón aparece deshabilitado",,"Automated",N/A,joelwnarro@yape.com.pe
"[Botón de prepago deshabilitado fuera del horario permitido]","Validar que fuera del horario de 5:00 a 20:30 no se permita iniciar prepago.","Usuario elegible para prepago por reglas restantes; hora del dispositivo/servidor fuera de rango; sesión activa.","Pruebas Funcionales > Mobile > Flujo de Prepago",Active,"UX,BFF",High,Functional,Unhappy Path,Regression,Mobile,"Android, iOS",N/A,"Test Case BDD",,,"Flujo de Prepago","Given que el usuario está fuera del horario de pago permitido\nWhen ingresa a su deuda\nThen el botón de prepago está deshabilitado\nAnd se impide continuar con el flujo",,"Automated",N/A,joelwnarro@yape.com.pe
"[Botón de prepago deshabilitado por transacción de adelanto/prepago en el mismo día]","Validar que si existe transacción de adelanto o prepago el mismo día la opción se deshabilite.","Usuario con transacción 8089 en fecha actual; cuota actual pagada; sesión iniciada.","Pruebas Funcionales > Mobile > Flujo de Prepago",Active,BFF,High,Functional,Unhappy Path,Regression,Mobile,"Android, iOS",N/A,"Test Case BDD",,,"Flujo de Prepago","Given que el usuario ya realizó adelanto o prepago hoy\nWhen accede a la pantalla de deuda\nThen la opción de prepago está deshabilitada",,"Automated",N/A,joelwnarro@yape.com.pe
"[Botón de prepago deshabilitado durante periodo de adelanto en progreso]","Validar que mientras el cliente se encuentre en periodo cubierto por un adelanto de cuotas, prepago esté deshabilitado.","Usuario con adelanto de cuotas en progreso según backend; cuota actual pagada; sesión activa.","Pruebas Funcionales > Mobile > Flujo de Prepago",Active,BFF,Critical,Functional,Unhappy Path,Regression,Mobile,"Android, iOS",N/A,"Test Case BDD",,,"Flujo de Prepago","Given que el usuario está dentro del periodo de un adelanto en progreso\nWhen revisa sus opciones de pago\nThen el botón de prepago está deshabilitado",,"Automated",N/A,joelwnarro@yape.com.pe
"[Validación de estado vacío por falta de rango de prepago desde backend]","Validar manejo de estado vacío cuando backend no retorna prepaymentMinAmount y/o prepaymentMaxAmount, evitando ingreso inválido y mostrando estado seguro.","Usuario elegible para prepago; respuesta backend sin límites de rango o con valores nulos; app en QA.","Pruebas Funcionales > Mobile > Flujo de Prepago",Active,"UI,BFF",High,Functional,Unhappy Path,Regression,Mobile,"Android, iOS",N/A,"Test Case BDD",,,"Flujo de Prepago","Given que el backend no retorna límites válidos de prepago\nWhen el usuario abre el ingreso de monto\nThen se muestra estado vacío controlado\nAnd no se permite continuar con datos incompletos",,"Manual",N/A,joelwnarro@yape.com.pe
"[Validación de límite mínimo permitido en otro monto]","Validar que el monto mínimo permitido sea exactamente prepaymentMinAmount.","Usuario dentro del flujo de prepago; backend retorna prepaymentMinAmount; teclado numérico disponible.","Pruebas Funcionales > Mobile > Flujo de Prepago",Active,BFF,Critical,Acceptance,Happy Path,Smoke,Mobile,"Android, iOS",N/A,"Test Case BDD",,,"Flujo de Prepago","Given que el usuario está en la pantalla ¿Cuánto quieres pagar?\nWhen ingresa un monto igual a prepaymentMinAmount\nThen el sistema acepta el valor\nAnd permite continuar",,"Automated",N/A,joelwnarro@yape.com.pe
"[Rechazo de monto menor al mínimo configurado]","Validar que un monto menor a prepaymentMinAmount sea rechazado con mensaje en rojo de rango permitido.","Usuario en ingreso de monto; backend retorna límites; app con conectividad.","Pruebas Funcionales > Mobile > Flujo de Prepago",Active,"UI,BFF",Critical,Functional,Unhappy Path,Smoke,Mobile,"Android, iOS",N/A,"Test Case BDD",,,"Flujo de Prepago","Given que el mínimo permitido es prepaymentMinAmount\nWhen el usuario ingresa un monto menor al mínimo\nThen se muestra mensaje de rango en rojo\nAnd no se habilita la continuación",,"Automated",N/A,joelwnarro@yape.com.pe
