Title,Description,Preconditions,Folder,State,Tags,Priority,Type of Test Case,Test Scenario Type,Test Execution Type,Layer,Operating System,Subscription,Template,Steps,Results,Feature,Scenario,Background,Automation Status,Automated Status,Owner
"Checkbox de consentimiento visible cuando shouldDisplayConsent=true","Valida que al recibir shouldDisplayConsent=true el checkbox y mensaje de consentimiento son visibles en el formulario","Usuario autenticado. shouldDisplayConsent=true retornado por CrossConsents. Formulario de solicitud de crédito disponible.","Pruebas Funcionales > Mobile > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,"UI, BFF",Critical,Functional,Happy Path,Smoke,Mobile,"Android, iOS",N/A,Test Case BDD,,,Consentimiento en formulario de desembolso,"Dado que el cliente ingresa al formulario de solicitud\nY CrossConsents retorna shouldDisplayConsent=true\nCuando el formulario se renderiza\nEntonces el checkbox de consentimiento debe ser visible\nY el mensaje de consentimiento debe ser visible",,Automated,N/A,Joel Narro
"Checkbox de consentimiento oculto cuando shouldDisplayConsent=false","Valida que al recibir shouldDisplayConsent=false el checkbox y mensaje no se muestran en el formulario","Usuario autenticado. shouldDisplayConsent=false retornado por CrossConsents. Formulario disponible.","Pruebas Funcionales > Mobile > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,"UI, BFF",Critical,Functional,Happy Path,Smoke,Mobile,"Android, iOS",N/A,Test Case BDD,,,Consentimiento en formulario de desembolso,"Dado que el cliente ingresa al formulario de solicitud\nY CrossConsents retorna shouldDisplayConsent=false\nCuando el formulario se renderiza\nEntonces el checkbox de consentimiento NO debe ser visible\nY el mensaje de consentimiento NO debe ser visible",,Automated,N/A,Joel Narro
"Estado final APPROVED cuando checkbox marcado y shouldDisplayConsent=true","Valida que al marcar el checkbox y presionar Obtener crédito el estado final es APPROVED y commercialApproval=true","Usuario autenticado. shouldDisplayConsent=true. Checkbox visible y desmarcado por defecto.","Pruebas Funcionales > Mobile > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,"UX, BFF",Critical,Functional,Happy Path,Smoke,Mobile,"Android, iOS",N/A,Test Case BDD,,,Consentimiento en formulario de desembolso,"Dado que el cliente visualiza el checkbox de consentimiento\nY shouldDisplayConsent=true\nCuando el cliente marca el checkbox\nY presiona Obtener crédito\nEntonces RegisterConsents debe ejecutarse con customerAgreementStatus=APPROVED\nY Quote debe enviarse con commercialApproval=true",,Automated,N/A,Joel Narro
"Estado final NOT_APPROVED cuando checkbox no marcado y shouldDisplayConsent=true","Valida que al dejar el checkbox sin marcar y presionar Obtener crédito el estado final es NOT_APPROVED y commercialApproval=false","Usuario autenticado. shouldDisplayConsent=true. Checkbox visible y desmarcado.","Pruebas Funcionales > Mobile > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,"UX, BFF",Critical,Functional,Happy Path,Smoke,Mobile,"Android, iOS",N/A,Test Case BDD,,,Consentimiento en formulario de desembolso,"Dado que el cliente visualiza el checkbox de consentimiento\nY shouldDisplayConsent=true\nCuando el cliente deja el checkbox desmarcado\nY presiona Obtener crédito\nEntonces RegisterConsents debe ejecutarse con customerAgreementStatus=NOT_APPROVED\nY Quote debe enviarse con commercialApproval=false",,Automated,N/A,Joel Narro
"Estado final APPROVED heredado de customerAgreementLastState cuando shouldDisplayConsent=false","Valida que cuando no se muestra checkbox y customerAgreementLastState=APPROVED el estado final es APPROVED sin interacción del usuario","Usuario autenticado. shouldDisplayConsent=false. customerAgreementLastState=APPROVED retornado por CrossConsents.","Pruebas Funcionales > Mobile > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,"UX, BFF",Critical,Functional,Happy Path,Smoke,Mobile,"Android, iOS",N/A,Test Case BDD,,,Consentimiento en formulario de desembolso,"Dado que el cliente ingresa al formulario\nY shouldDisplayConsent=false\nY customerAgreementLastState=APPROVED\nCuando el cliente presiona Obtener crédito\nEntonces RegisterConsents debe ejecutarse con customerAgreementStatus=APPROVED\nY Quote debe enviarse con commercialApproval=true",,Automated,N/A,Joel Narro
"Estado final NOT_APPROVED heredado de customerAgreementLastState cuando shouldDisplayConsent=false","Valida que cuando no se muestra checkbox y customerAgreementLastState=NOT_APPROVED el estado final es NOT_APPROVED sin interacción del usuario","Usuario autenticado. shouldDisplayConsent=false. customerAgreementLastState=NOT_APPROVED retornado por CrossConsents.","Pruebas Funcionales > Mobile > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,"UX, BFF",Critical,Functional,Happy Path,Smoke,Mobile,"Android, iOS",N/A,Test Case BDD,,,Consentimiento en formulario de desembolso,"Dado que el cliente ingresa al formulario\nY shouldDisplayConsent=false\nY customerAgreementLastState=NOT_APPROVED\nCuando el cliente presiona Obtener crédito\nEntonces RegisterConsents debe ejecutarse con customerAgreementStatus=NOT_APPROVED\nY Quote debe enviarse con commercialApproval=false",,Automated,N/A,Joel Narro
"Marcar y desmarcar checkbox no ejecuta RegisterConsents ni registra en Master Repository","Valida que interactuar con el checkbox sin presionar Obtener crédito no dispara la mutation ni genera registro","Usuario autenticado. shouldDisplayConsent=true. Checkbox visible.","Pruebas Funcionales > Mobile > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,UX,Critical,Functional,Happy Path,Smoke,Mobile,"Android, iOS",N/A,Test Case BDD,,,Consentimiento en formulario de desembolso,"Dado que el cliente visualiza el checkbox de consentimiento\nCuando el cliente marca el checkbox\nY luego lo desmarca\nY no presiona Obtener crédito\nEntonces RegisterConsents no debe ejecutarse\nY no debe realizarse ningún registro en Master Repository",,Automated,N/A,Joel Narro
"Error de registro en Master Repository no muestra mensaje de error al cliente","Valida que ante falla de Master Repository en el registro el flujo continúa y el cliente no ve ningún error","Usuario autenticado. Mock de Master Repository configurado para retornar error. shouldDisplayConsent=true.","Pruebas Funcionales > Mobile > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,"UX, BFF",Critical,Functional,UnHappy Path,Smoke,Mobile,"Android, iOS",N/A,Test Case BDD,,,Consentimiento en formulario de desembolso,"Dado que el cliente presiona Obtener crédito\nY Master Repository retorna error al registrar el consentimiento\nCuando Backend maneja el error internamente\nEntonces el cliente no debe ver ningún mensaje de error relacionado al consentimiento\nY el flujo de solicitud de crédito debe continuar sin interrupción",,Manual,N/A,Joel Narro
"Reingreso al formulario vuelve a ejecutar CrossConsents con estado vigente","Valida que al reingresar al formulario el estado del consentimiento se actualiza desde Master Repository","Usuario autenticado. Cliente que ya ingresó al formulario previamente. Estado de consentimiento actualizado.","Pruebas Funcionales > Mobile > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,"UX, BFF",High,Functional,Happy Path,Regression,Mobile,"Android, iOS",N/A,Test Case BDD,,,Consentimiento en formulario de desembolso,"Dado que el cliente ingresó previamente al formulario\nY luego regresa al formulario\nCuando el formulario se carga nuevamente\nEntonces CrossConsents debe ejecutarse otra vez\nY el estado visualizado debe corresponder al estado vigente retornado por Master Repository",,Automated,N/A,Joel Narro
"Loader visible mientras CrossConsents está en ejecución al ingresar al formulario","Valida que se muestra un indicador de carga mientras se espera la respuesta de CrossConsents","Usuario autenticado. Conexión con latencia simulada. Formulario disponible.","Pruebas Funcionales > Mobile > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,UI,Medium,Functional,Happy Path,Regression,Mobile,"Android, iOS",N/A,Test Case BDD,,,Consentimiento en formulario de desembolso,"Dado que el cliente ingresa al formulario\nCuando CrossConsents está en ejecución\nEntonces debe mostrarse un indicador visual de carga\nY el formulario no debe ser interactuable hasta recibir la respuesta\n[RIESGO R-FE-03: comportamiento del loader no documentado explícitamente]",,Manual,N/A,Joel Narro
"Sin conectividad al ingresar al formulario muestra estado de error de red","Valida el comportamiento visual cuando CrossConsents falla por ausencia de conectividad","Usuario autenticado. Dispositivo sin conexión a internet.","Pruebas Funcionales > Mobile > Conectarnos a API Master Repository en los formularios del flujo de desembolso",Active,UX,High,Functional,UnHappy Path,Regression,Mobile,"Android, iOS",N/A,Test Case BDD,,,Consentimiento en formulario de desembolso,"Dado que el cliente intenta ingresar al formulario sin conexión\nCuando CrossConsents no puede ejecutarse\nEntonces debe mostrarse un mensaje o estado de error de red\n[RIESGO R-FE-01: comportamiento ante pérdida de conectividad no documentado]",,Manual,N/A,Joel Narro
