Title,Description,Preconditions,Folder,State,Tags,Priority,Type of Test Case,Test Scenario Type,Test Execution Type,Layer,Operating System,Subscription,Template,Steps,Results,Feature,Scenario,Background,Automation Status,Automated Status,Owner
Retrieve consent documents for new customer,Validates that GET /v1/consents/documents/lending/cross correctly returns unapproved documents for a new customer in the quotation flow,Valid token; customer with no previous consent history; Redis available; Document Directory and Customer Agreement available,Technical Tests > Backend > API Master Repository,Active,BS,Critical,Functional,Happy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP,PDP_GRUPO\n2. Include Authorization header with valid token\n3. Validate query in Redis for cached document\n4. If not cached, query Document Directory for metadata\n5. Query Customer Agreement to validate consent history","1. HTTP Response 200 OK\n2. Response contains 'data' array with at least 1 document\n3. Field 'show' in document is true\n4. Field 'customerAgreementLastState' is null\n5. Field 'versionId' is valid string\n6. Field 'url' is valid URI\n7. Response structure complies with JSON Schema contract",,,,Automated,N/A,Joel Narro
Do not show checkbox if customer previously approved,Validates that GET returns show=false when customerAgreementStatus is APPROVED,Valid token; customer with previous approval registered in Customer Agreement; Redis available,Technical Tests > Backend > API Master Repository,Active,BS,Critical,Functional,Happy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n2. Include Authorization header with valid token\n3. Query Customer Agreement returning customerAgreementStatus=APPROVED","1. HTTP Response 200 OK\n2. 'data' array contains document with customerAgreementStatus=APPROVED\n3. Field 'show' is false\n4. Field 'lastCustomerUpdated' contains valid ISO-8601 timestamp",,,,Automated,N/A,Joel Narro
Validate grace period after rejection,Validates that checkbox is not shown if rejection grace period is still active (documentAcceptanceRemainingDays > 0),Valid token; customer with recent rejection (< 30 days); Redis available,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,Happy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n2. Include Authorization header\n3. Query Customer Agreement returning customerAgreementStatus=NOT_APPROVED with documentAcceptanceRemainingDays=15","1. HTTP Response 200 OK\n2. Field 'show' is false\n3. Field 'customerAgreementLastState' is NOT_APPROVED\n4. Customer does not receive checkbox in FE",,,,Automated,N/A,Joel Narro
Allow retry after grace period expiration,Validates that checkbox is shown again if grace period expired (documentAcceptanceRemainingDays <= 0),Valid token; customer with previous rejection (>= 30 days); Redis available,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,Happy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n2. Include Authorization header\n3. Query Customer Agreement returning customerAgreementStatus=NOT_APPROVED with documentAcceptanceRemainingDays=0 or negative","1. HTTP Response 200 OK\n2. Field 'show' is true\n3. Field 'customerAgreementLastState' is NOT_APPROVED\n4. Customer receives checkbox again in FE",,,,Automated,N/A,Joel Narro
Reject GET without authorization header,Validates that GET returns 401 when authorization header is absent,Redis available; Document Directory available,Technical Tests > Backend > API Master Repository,Active,BS,Critical,Security,UnHappy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n2. Omit Authorization header completely\n3. Send request","1. HTTP Response 401 Unauthorized\n2. Body contains authentication error\n3. Document information is not returned",,,,Automated,N/A,Joel Narro
Reject GET with invalid token,Validates that GET returns 401 when token is invalid or expired,Redis available,Technical Tests > Backend > API Master Repository,Active,BS,Critical,Security,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n2. Include Authorization header: Bearer invalid_token_xyz\n3. Send request","1. HTTP Response 401 Unauthorized\n2. Body contains authentication error message\n3. Document information is not returned",,,,Automated,N/A,Joel Narro
Reject GET without products in query param,Validates that GET returns 400 when productAgreements is empty or absent,Valid token,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send GET /v1/consents/documents/lending/cross (without query param)\n2. Include valid Authorization header\n3. Send request","1. HTTP Response 400 Bad Request\n2. Body contains validation error indicating productAgreements is required\n3. Document information is not returned",,,,Automated,N/A,Joel Narro
Reject GET with invalid productAgreements,Validates that GET returns 400 when productAgreements format is invalid,Valid token,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send GET /v1/consents/documents/lending/cross?productAgreements=INVALID_PRODUCT\n2. Include valid Authorization header\n3. Send request","1. HTTP Response 400 Bad Request\n2. Body contains error indicating invalid productAgreements\n3. Documents are not returned",,,,Automated,N/A,Joel Narro
Return 403 when customer lacks access to product,Validates that GET returns 403 when customer lacks permissions for requested products,Valid token for customer with limited permissions; customer has access only to PDP_BCP but requests PDP_GRUPO,Technical Tests > Backend > API Master Repository,Active,BS,High,Security,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_GRUPO\n2. Include Authorization header with token of customer having access only to PDP_BCP\n3. Send request","1. HTTP Response 403 Forbidden\n2. Body contains authorization error\n3. PDP_GRUPO documents are not returned",,,,Automated,N/A,Joel Narro
Return 404 when customer does not exist in Business Account,Validates that GET returns 404 when customer does not exist in system,Valid token but customer does not exist in Business Account,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n2. Include Authorization header with token of non-existent customer\n3. Send request","1. HTTP Response 404 Not Found\n2. Body contains error indicating customer not found\n3. Document information is not returned",,,,Automated,N/A,Joel Narro
