Title,Description,Preconditions,Folder,State,Tags,Priority,Type of Test Case,Test Scenario Type,Test Execution Type,Layer,Operating System,Subscription,Template,Steps,Results,Feature,Scenario,Background,Automation Status,Automated Status,Owner
"Approved consent returns show=false","Validates that when the customer has already approved the consent, the response includes show=false and lastCustomerUpdated","Valid JWT token. Customer has APPROVED consent in Customer Agreement service. Document Directory service available. Redis available.","Technical Tests > Backend > API Master Repository",Active,BS,Critical,Functional,Happy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Authenticate with valid JWT token\n2. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n3. Validate HTTP response status\n4. Validate response body fields","HTTP 200 returned\ndata[].show equals false\ndata[].lastCustomerUpdated contains a valid date\ndata[].customerAgreementLastState is populated",,,,Automated,N/A,Joel Narro
"Unmanaged consent returns show=true and persists ID in Redis","Validates that when the customer has never managed the consent, show=true and the consent ID is persisted in Redis","Valid JWT token. Customer has NO consent record in Customer Agreement service. Redis available and writable.","Technical Tests > Backend > API Master Repository",Active,BS,Critical,Functional,Happy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Authenticate with valid JWT token\n2. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n3. Validate HTTP response status\n4. Validate response body\n5. Verify consent ID was persisted in Redis","HTTP 200 returned\ndata[].show equals true\nConsent ID is stored in Redis",,,,Automated,N/A,Joel Narro
"Rejected consent within remaining days returns show=false","Validates that when the consent was rejected and documentAcceptanceRemainingDays has not elapsed, show=false","Valid JWT token. Customer has a recent rejection (within documentAcceptanceRemainingDays period). Customer Agreement and Document Directory available.","Technical Tests > Backend > API Master Repository",Active,BS,Critical,Functional,Happy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Authenticate with valid JWT token\n2. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n3. Validate HTTP response status\n4. Validate show field in response","HTTP 200 returned\ndata[].show equals false",,,,Automated,N/A,Joel Narro
"Rejected consent past remaining days returns show=true","Validates that when the consent was rejected and documentAcceptanceRemainingDays has elapsed, show=true and ID is persisted in Redis","Valid JWT token. Customer with expired rejection (past documentAcceptanceRemainingDays). Redis available.","Technical Tests > Backend > API Master Repository",Active,BS,Critical,Functional,Happy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Authenticate with valid JWT token\n2. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n3. Validate HTTP response status\n4. Validate show field\n5. Verify consent ID persisted in Redis","HTTP 200 returned\ndata[].show equals true\nConsent ID stored in Redis",,,,Automated,N/A,Joel Narro
"Missing Authorization header returns 401","Validates that the API rejects requests without the Authorization header","No authentication configured. Endpoint available.","Technical Tests > Backend > API Master Repository",Active,BS,Critical,Functional,UnHappy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP without Authorization header\n2. Validate HTTP response status\n3. Validate error response body","HTTP 401 returned\nError body indicates missing authentication",,,,Automated,N/A,Joel Narro
"Expired JWT token returns 401","Validates that the API rejects requests with an expired JWT token","Expired JWT token available. Endpoint available.","Technical Tests > Backend > API Master Repository",Active,BS,Critical,Functional,UnHappy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Authenticate with expired JWT token\n2. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n3. Validate HTTP response status\n4. Validate error response body","HTTP 401 returned\nError body indicates expired or invalid token",,,,Automated,N/A,Joel Narro
"Malformed JWT token returns 401","Validates that the API rejects requests with a malformed Authorization header value","Malformed JWT token string available.","Technical Tests > Backend > API Master Repository",Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send GET with Authorization header containing a malformed token value\n2. Validate HTTP response status\n3. Validate error response body","HTTP 401 returned\nError body is present and does not expose internal details",,,,Automated,N/A,Joel Narro
"Missing productAgreements query param returns error","Validates behavior when productAgreements query param is not sent in the request","Valid JWT token. Endpoint available.","Technical Tests > Backend > API Master Repository",Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Authenticate with valid JWT token\n2. Send GET /v1/consents/documents/lending/cross without productAgreements query param\n3. Validate HTTP response status\n4. Validate error response body","HTTP 400 or equivalent\nError body indicates missing required parameter\n[RISK R-06: behavior not explicitly documented]",,,,Manual,N/A,Joel Narro
"Empty productAgreements query param returns error","Validates behavior when productAgreements is sent with an empty value","Valid JWT token. Endpoint available.","Technical Tests > Backend > API Master Repository",Active,BS,Medium,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Authenticate with valid JWT token\n2. Send GET /v1/consents/documents/lending/cross?productAgreements=\n3. Validate HTTP response status\n4. Validate error response body","HTTP 400 or equivalent\nDescriptive error message returned\n[RISK R-06: behavior not explicitly documented]",,,,Manual,N/A,Joel Narro
"Invalid productAgreements value returns controlled response","Validates that an unrecognized agreement value is handled without 500 error","Valid JWT token. Document Directory returns empty array for unknown value.","Technical Tests > Backend > API Master Repository",Active,BS,Medium,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Authenticate with valid JWT token\n2. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_INVALID\n3. Validate HTTP response status\n4. Validate response body","HTTP 200 with empty data[] OR HTTP 400\nResponse must not be HTTP 500",,,,Manual,N/A,Joel Narro
"Two productAgreements with different consent states return mixed array","Validates that the response array correctly reflects different show values per consent when two agreements are requested","Valid JWT token. Customer has PDP_BCP approved and PDP_GRUPO unmanaged. Both services available.","Technical Tests > Backend > API Master Repository",Active,BS,High,Functional,Happy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Authenticate with valid JWT token\n2. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP,PDP_GRUPO\n3. Validate HTTP response status\n4. Validate each element in data array","HTTP 200 returned\ndata[] contains 2 elements\nPDP_BCP entry: show=false\nPDP_GRUPO entry: show=true\n[RISK R-03: behavior not explicitly documented]",,,,Manual,N/A,Joel Narro
"Document Directory dependency failure returns controlled error","Validates that a 500 or timeout from Document Directory results in a controlled API error response","Valid JWT token. Document Directory mock returning 500 or timeout.","Technical Tests > Backend > API Master Repository",Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Authenticate with valid JWT token\n2. Configure mock: Document Directory returns 500\n3. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n4. Validate HTTP response status\n5. Validate error response body","HTTP 502 or 503 or 500 returned\nError body is present and controlled\nNo stack trace exposed\n[RISK R-04: error codes not documented]",,,,Manual,N/A,Joel Narro
"Customer Agreement dependency failure returns controlled error","Validates that a 500 or timeout from Customer Agreement results in a controlled API error response","Valid JWT token. Customer Agreement mock returning 500 or timeout.","Technical Tests > Backend > API Master Repository",Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Authenticate with valid JWT token\n2. Configure mock: Customer Agreement returns 500\n3. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n4. Validate HTTP response status\n5. Validate error response body","HTTP 502 or 503 or 500 returned\nError body is present and controlled\nNo stack trace exposed\n[RISK R-04: error codes not documented]",,,,Manual,N/A,Joel Narro
